h3_index;weekly_popularity
88392208d1fffff;9480
88392208d7fffff;4395
88392208d9fffff;5287
88392208dbfffff;4872
88392208ddfffff;2617
8839220a93fffff;40873
8839220a95fffff;37268
8839220a99fffff;11710
8839220a9bfffff;14406
8839220a9dfffff;19938
8839220abbfffff;6073
8839220ad1fffff;22309
8839220ad3fffff;62377
8839220ad7fffff;4859
8839220ad9fffff;6340
8839220adbfffff;65486
8839220c03fffff;14969
8839220c15fffff;4265
8839220c19fffff;3934
8839220c1bfffff;5121
8839220c27fffff;4014
8839220c39fffff;3131
8839220c41fffff;2969
8839220c43fffff;2126
8839220c49fffff;12798
8839220c4bfffff;3136
8839220c4dfffff;10219
8839220c51fffff;4757
8839220c59fffff;4476
8839220c69fffff;6810
8839220c6dfffff;2962
8839220cb9fffff;2709
8839220d15fffff;4597
8839220d1bfffff;4692
8839220d21fffff;4688
8839220d23fffff;4871
8839220d41fffff;3693
8839220d49fffff;4095
8839220d4bfffff;9818
8839220d57fffff;5774
8839220d59fffff;5351
8839220d5dfffff;1623
8839220d6dfffff;8602
8839220db1fffff;1671
8839220dbdfffff;4050
8839220dc5fffff;3415
8839220de1fffff;1814
8839220de9fffff;2942
8839220e01fffff;3539
8839220e0bfffff;5208
8839220e11fffff;3329
8839220e1bfffff;10230
8839220e1dfffff;16258
8839220e21fffff;28807
8839220e25fffff;4448
8839220e27fffff;2391
8839220e29fffff;5467
8839220e2bfffff;7726
8839220e35fffff;7477
8839220e37fffff;5158
8839220e3bfffff;11271
8839220e43fffff;3110
8839220e4dfffff;6902
8839220e57fffff;1843
8839220e59fffff;3105
8839220e61fffff;20378
8839220e65fffff;11989
8839220e67fffff;19364
8839220e6dfffff;5530
8839220e81fffff;8677
8839220e87fffff;5637
8839220e89fffff;4762
8839220e8dfffff;7902
8839220eb9fffff;4929
8839220f01fffff;61106
8839220f03fffff;449611
8839220f07fffff;92939
8839220f09fffff;82454
8839220f0bfffff;69973
8839220f0dfffff;11451
8839220f11fffff;21714
8839220f13fffff;16974
8839220f15fffff;254485
8839220f17fffff;22685
8839220f19fffff;51508
8839220f1bfffff;4643
8839220f1dfffff;61536
8839220f21fffff;9730
8839220f23fffff;2243
8839220f27fffff;6897
8839220f2dfffff;9276
8839220f31fffff;19077
8839220f33fffff;3182
8839220f35fffff;27723
8839220f37fffff;4884
8839220f39fffff;74192
8839220f3dfffff;46659
8839220f41fffff;12767
8839220f43fffff;14891
8839220f45fffff;12190
8839220f47fffff;41894
8839220f49fffff;46175
8839220f4bfffff;16220
8839220f4dfffff;21095
8839220f51fffff;16610
8839220f53fffff;14349
8839220f55fffff;41182
8839220f57fffff;40297
8839220f59fffff;4203
8839220f5bfffff;10982
8839220f5dfffff;3529
8839220f61fffff;1328
8839220f69fffff;23630
8839220f6bfffff;18421
8839221083fffff;12627
8839221089fffff;13061
883922108bfffff;4833
883922109dfffff;5681
88392210b1fffff;10110
88392210b5fffff;8596
88392210b9fffff;8251
88392210bbfffff;1840
88392210bdfffff;3709
88392210c3fffff;8700
88392210d1fffff;4395
88392210d9fffff;2675
8839221283fffff;4143
88392212b7fffff;3342
